piece	staff	bigram_id	n0_tpc	n0_octave	n1_tpc	n1_octave	n0_midi	int_fifths	int_octaves	int_semitones
chor001	1	0	1	4	1	4	67	0	0	0
chor001	1	1	1	4	2	5	67	1	0	7
chor001	1	2	2	5	5	4	74	3	-2	-3
chor001	1	3	5	4	3	4	71	-2	1	-2
chor001	1	4	3	4	1	4	69	-2	1	-2
chor001	1	5	1	4	1	4	67	0	0	0
chor001	1	6	1	4	3	4	67	2	-1	2
chor001	1	7	3	4	5	4	69	2	-1	2
chor001	1	8	5	4	3	4	71	-2	1	-2
chor001	1	9	3	4	5	4	69	2	-1	2
chor001	1	10	5	4	2	5	71	-3	2	3
chor001	1	11	2	5	0	5	74	-2	1	-2
chor001	1	12	0	5	5	4	72	5	-3	-1
chor001	1	13	5	4	3	4	71	-2	1	-2
chor001	1	14	3	4	1	4	69	-2	1	-2
chor001	1	15	1	4	5	4	67	4	-2	4
chor001	1	16	5	4	5	4	71	0	0	0
chor001	1	17	5	4	0	5	71	-5	3	1
chor001	1	18	0	5	2	5	72	2	-1	2
chor001	1	19	2	5	2	5	74	0	0	0
chor001	1	20	2	5	0	5	74	-2	1	-2
chor001	1	21	0	5	5	4	72	5	-3	-1
chor001	1	22	5	4	3	4	71	-2	1	-2
chor001	1	23	3	4	1	4	69	-2	1	-2
chor001	1	24	1	4	5	4	67	4	-2	4
chor001	1	25	5	4	0	5	71	-5	3	1
chor001	1	26	0	5	2	5	72	2	-1	2
chor001	1	27	2	5	0	5	74	-2	1	-2
chor001	1	28	0	5	5	4	72	5	-3	-1
chor001	1	29	5	4	1	4	71	-4	2	-4
chor001	1	30	1	4	5	4	67	4	-2	4
chor001	1	31	5	4	2	5	71	-3	2	3
chor001	1	32	2	5	0	5	74	-2	1	-2
chor001	1	33	0	5	5	4	72	5	-3	-1
chor001	1	34	5	4	3	4	71	-2	1	-2
chor001	1	35	3	4	1	4	69	-2	1	-2
chor001	1	36	1	4	3	4	67	2	-1	2
chor001	1	37	3	4	5	4	69	2	-1	2
chor001	1	38	5	4	3	4	71	-2	1	-2
chor001	1	39	3	4	5	4	69	2	-1	2
chor001	1	40	5	4	2	5	71	-3	2	3
chor001	1	41	2	5	0	5	74	-2	1	-2
chor001	1	42	0	5	5	4	72	5	-3	-1
chor001	1	43	5	4	3	4	71	-2	1	-2
chor001	1	44	3	4	1	4	69	-2	1	-2
chor001	2	0	2	4	2	4	62	0	0	0
chor001	2	1	2	4	4	4	62	2	-1	2
chor001	2	2	4	4	2	4	64	-2	1	-2
chor001	2	3	2	4	2	4	62	0	0	0
chor001	2	4	2	4	5	3	62	3	-2	-3
chor001	2	5	5	3	4	4	59	-1	1	5
chor001	2	6	4	4	2	4	64	-2	1	-2
chor001	2	7	2	4	4	4	62	2	-1	2
chor001	2	8	4	4	6	4	64	2	-1	2
chor001	2	9	6	4	1	4	66	-5	3	1
